brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Acer	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	68.8%	720 x 1280 px	8 MP, Single	8 MP, Single	Android 5.1 (Lollipop)	- Mali-T720MP3	microSD (dedicated slot)	32 GB, 3 GB RAM	- Octa-core 1.3 GHz Cortex-A53	156.3 Х 77.5 Х 8.9 mm	165 g	4000 mAh,  Removable Li-Po	None	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.7" inc	60.9 cm2	65.8%	720 x 1280 px	13 MP, Single	2 MP, Single	Android 4.2.2 (Jelly Bean)	- PowerVR SGX544	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM	- Quad-core 1.2 GHz Cortex-A7	136 Х 68 Х 9 mm	134 g	2500 mAh,  Non-removable Li-Ion	200 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	65.1%	480 x 854 px	8 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Adreno 305	microSD, up to 32 GB (dedicated slot)	4 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.2 GHz Cortex-A7	147 Х 72 Х 9.5 mm	155 g	2500 mAh,  Non-removable Li-Ion	200 EUR	Micro-SIM	GSM / HSPA / LTE	HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	64.1%	720 x 1280 px	8 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Mali-400MP2	microSD, up to 32 GB (dedicated slot)	16 GB, 2 GB RAM 4 GB, 1 GB RAM	- Quad-core 1.2 GHz Cortex-A7	147.3 Х 73 Х 9.9 mm	155 g	3500 mAh,  Non-removable Li-Ion	200 EUR	Triple SIM (Micro-SIM)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	71.1%	720 x 1280 px	13 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Mali-400MP2	microSD, up to 32 GB (uses SIM 2 slot)	8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus	- Quad-core 1.3 GHz Cortex-A7	140.5 Х 69 Х 7.5 mm	110 g	2100 mAh,  Non-removable Li-Ion	180 EUR	Hybrid Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	69.8%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 4.4.4 (KitKat), upgradable to 5.1 (Lollipop)	- Mali-T760MP2	microSD, up to 32 GB (uses SIM 2 slot)	16 GB, 2 GB RAM	- Octa-core 1.5 GHz Cortex-A53	143 Х 69 Х 7.8 mm	116 g	2300 mAh,  Non-removable Li-Ion	200 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, EDR	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5.7" inc	89.6 cm2	72.7%	720 x 1280 px	13 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Mali-450MP4	microSD, up to 32 GB (dedicated slot)	16 GB, 2 GB RAM	- Octa-core 1.7 GHz Cortex-A7	153.3 Х 80.4 Х 8.5 mm	164 g	2700 mAh,  Removable Li-Ion	260 EUR	Micro-SIM	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	TFT	capacitive touchscreen		4" inc	45.5 cm2	55.6%	480 x 800 px	2 MP, Single	0 MP,	Android 4.4.2 (KitKat)	- Mali-400	microSD, up to 32 GB (dedicated slot)	4 GB, 512 MB RAM	- Dual-core 1.0 GHz Cortex-A7	126 Х 65 Х 10.3 mm	130 g	1300 mAh,  Removable Li-Ion	90 EUR	Single SIM (Mini-SIM)Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	TFT	capacitive touchscreen		4" inc	45.5 cm2	57.4%	480 x 800 px	5 MP, Single	1.3 MP, Single	Android 4.2.2 (Jelly Bean)	- Mali-400	microSD (dedicated slot)	4 GB, 512 MB RAM	- Dual-core 1.3 GHz Cortex-A7	124 Х 64 Х 9.7 mm	122 g	1630 mAh,  Removable Li-Ion	100 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	No	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	No	Yes
Acer	TFT	capacitive touchscreen	16M	5" inc	68.9 cm2	64.4%	480 x 854 px	5 MP, Single	0.3 MP, Single	Android 4.2 (Jelly Bean)	- Mali-400	microSD, up to 32 GB (dedicated slot)	4 GB, 512 MB RAM	- Dual-core 1.3 GHz Cortex-A7	145.5 Х 73.5 Х 8.8 mm	150 g	2000 mAh,  Non-removable Li-Ion	170 EUR	Dual SIM	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	3.0, A2DP, EDR	FM radio	Yes
